Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
Chevrolet,Aveo 4dr,Sedan,USA,Front,"$11,690","$10,965",1.6,4,103,11,8,2370,98,167
Chevrolet,Aveo LS 4dr hatch,Sedan,USA,Front,"$12,585","$11,802",1.6,4,103,11,8,2348,98,153
Ford,Focus LX 4dr,Sedan,USA,Front,"$13,730","$12,906",2,4,110,10,7,2606,103,168
Ford,Focus ZX3 2dr hatch,Sedan,USA,Front,"$13,270","$12,482",2,4,130,10,7,2612,103,168
Ford,Focus SE 4dr,Sedan,USA,Front,"$15,460","$14,496",2,4,130,10,7,2606,103,168
Ford,Focus ZX5 5dr,Sedan,USA,Front,"$15,580","$14,607",2,4,130,10,7,2691,103,168
Ford,Focus ZTW,Wagon,USA,Front,"$17,475","$16,375",2,4,130,10,7,2702,103,178
Honda,Insight 2dr (gas/electric),Hybrid,Asia,Front,"$19,110","$17,911",2,3,73,9,6,1850,95,155
Honda,Civic Hybrid 4dr manual (gas/electric),Hybrid,Asia,Front,"$20,140","$18,451",1.4,4,93,8,5,2732,103,175
Honda,Civic DX 2dr,Sedan,Asia,Front,"$13,270","$12,175",1.7,4,115,11,7,2432,103,175
Honda,Civic LX 4dr,Sedan,Asia,Front,"$15,850","$14,531",1.7,4,115,11,7,2513,103,175
Honda,Civic HX 2dr,Sedan,Asia,Front,"$14,170","$12,996",1.7,4,117,10,6,2500,103,175
Honda,Civic EX 4dr,Sedan,Asia,Front,"$17,750","$16,265",1.7,4,127,10,6,2601,103,175
Hyundai,Accent 2dr hatch,Sedan,Asia,Front,"$10,539","$10,107",1.6,4,103,10,6,2255,96,167
Hyundai,Accent GL 4dr,Sedan,Asia,Front,"$11,839","$11,116",1.6,4,103,10,6,2290,96,167
Hyundai,Accent GT 2dr hatch,Sedan,Asia,Front,"$11,939","$11,209",1.6,4,103,11,7,2339,96,167
,,,,,,,,,,,,,,
Kia,Rio 4dr manual,Sedan,Asia,Front,"$10,280","$9,875",1.6,4,104,12,7,2403,95,167
Kia,Rio 4dr auto,Sedan,Asia,Front,"$11,155","$10,705",1.6,4,104,10,6,2458,95,167
Kia,Rio Cinco,Wagon,Asia,Front,"$11,905","$11,410",1.6,4,104,11,7,2447,95,167
Kia,Spectra 4dr,Sedan,Asia,Front,"$12,360","$11,630",1.8,4,124,12,7,2661,101,178
Kia,Spectra GS 4dr hatch,Sedan,Asia,Front,"$13,580","$12,830",1.8,4,124,12,7,2686,101,178
Kia,Spectra GSX 4dr hatch,Sedan,Asia,Front,"$14,630","$13,790",1.8,4,124,12,7,2697,101,178
Mazda,Tribute DX 2.0,SUV,Asia,All,"$21,087","$19,742",2,4,130,10,6,3091,103,173
MINI,Cooper,Sedan,Europe,Front,"$16,999","$15,437",1.6,4,115,11,7,2524,97,143
Mitsubishi,Lancer ES 4dr,Sedan,Asia,Front,"$14,622","$13,751",2,4,120,10,6,2656,102,181
Mitsubishi,Lancer LS 4dr,Sedan,Asia,Front,"$16,722","$15,718",2,4,120,10,6,2795,102,181
Mitsubishi,Lancer OZ Rally 4dr auto,Sedan,Asia,Front,"$17,232","$16,196",2,4,120,10,6,2744,102,181
Nissan,Sentra 1.8 4dr,Sedan,Asia,Front,"$12,740","$12,205",1.8,4,126,13,8,2513,100,178
Nissan,Sentra 1.8 S 4dr,Sedan,Asia,Front,"$14,740","$13,747",1.8,4,126,11,7,2581,100,178
